Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Administration\Administration.csproj,File,src\Administration\Administration.csproj,,,Microsoft.AspNetCore.OpenApi 8.0.0,,,,,"Microsoft.AspNetCore.OpenApi, 8.0.0  Recommendation:  Remove Microsoft.AspNetCore.OpenApi, and replace with new package Microsoft.AspNetCore.OpenApi 10.0.4"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Administration\Administration.csproj,File,src\Administration\Administration.csproj,,,Microsoft.EntityFrameworkCore.Design 8.0.0,,,,,"Microsoft.EntityFrameworkCore.Design, 8.0.0  Recommendation:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.4"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Administration\Administration.csproj,File,src\Administration\Administration.csproj,,,Microsoft.EntityFrameworkCore 8.0.0,,,,,"Microsoft.EntityFrameworkCore, 8.0.0  Recommendation:  Remove Microsoft.EntityFrameworkCore, and replace with new package Microsoft.EntityFrameworkCore 10.0.4"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,src\Administration\Administration.csproj,File,src\Administration\Administration.csproj,,,Npgsql.EntityFrameworkCore.PostgreSQL.Design 1.1.0,,,,,"Npgsql.EntityFrameworkCore.PostgreSQL.Design, 1.1.0  Recommendation:  This package is no longer needed in newer versions of the provider - simply remove any references to it. Remove Npgsql.EntityFrameworkCore.PostgreSQL.Design, and replace with new package Npgsql.EntityFrameworkCore.PostgreSQL.Design, 1.1.0"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\Administration\Administration.csproj,File,src\Administration\Administration.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Authentication\Authentication.csproj,File,src\Authentication\Authentication.csproj,,,Microsoft.AspNetCore.OpenApi 8.0.0,,,,,"Microsoft.AspNetCore.OpenApi, 8.0.0  Recommendation:  Remove Microsoft.AspNetCore.OpenApi, and replace with new package Microsoft.AspNetCore.OpenApi 10.0.4"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Authentication\Authentication.csproj,File,src\Authentication\Authentication.csproj,,,Microsoft.EntityFrameworkCore 8.0.0,,,,,"Microsoft.EntityFrameworkCore, 8.0.0  Recommendation:  Remove Microsoft.EntityFrameworkCore, and replace with new package Microsoft.EntityFrameworkCore 10.0.4"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Authentication\Authentication.csproj,File,src\Authentication\Authentication.csproj,,,Microsoft.EntityFrameworkCore.Design 8.0.0,,,,,"Microsoft.EntityFrameworkCore.Design, 8.0.0  Recommendation:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.4"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,src\Authentication\Authentication.csproj,File,src\Authentication\Authentication.csproj,,,Npgsql.EntityFrameworkCore.PostgreSQL.Design 1.1.0,,,,,"Npgsql.EntityFrameworkCore.PostgreSQL.Design, 1.1.0  Recommendation:  This package is no longer needed in newer versions of the provider - simply remove any references to it. Remove Npgsql.EntityFrameworkCore.PostgreSQL.Design, and replace with new package Npgsql.EntityFrameworkCore.PostgreSQL.Design, 1.1.0"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\Authentication\Authentication.csproj,File,src\Authentication\Authentication.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
